x, y
1.14E-07,36709573.79
1.31E-07,23138438.46
1.52E-07,14708151.26
1.77E-07,9372153.543
2.01E-07,6031746.167
2.32E-07,3821251.149
2.67E-07,2430925.673
3.06E-07,1592984.51
3.53E-07,1037548.147
4.09E-07,679077.746
4.69E-07,443313.829
5.38E-07,300015.9785
6.25E-07,200423.7123
7.31E-07,133537.5069
8.25E-07,93238.28109
9.57E-07,64854.05881
1.09759E-06,44680.0026
1.26156E-06,31299.29848
1.44967E-06,22837.55909
1.67799E-06,17022.8156
1.92872E-06,13038.55951
2.20968E-06,10327.15737
2.5522E-06,8437.165671
2.93337E-06,5580.974463
3.38091E-06,4436.250085
3.90525E-06,3650.669404
4.49324E-06,2843.053382
5.19469E-06,2363.00072
5.97276E-06,2108.579595
6.84747E-06,1822.937085
7.88599E-06,1748.532725
9.16919E-06,1702.93987
1.04356E-05,1768.046392
1.2054E-05,1919.516943
1.39277E-05,2239.9333
1.6034E-05,2085.008913
1.83904E-05,2855.70256
2.12012E-05,4597.61882
2.43552E-05,11064.36043
2.81132E-05,127702.4747
